key,stand,significant,factor,date
Angel Stadium,R,yes,-0.3517015783736176,2026-08-18
PNC Park,R,yes,-0.457869569859019,2026-08-18
Busch Stadium,R,yes,-0.5396938720669376,2026-08-18
Wrigley Field,L,yes,0.4822162387820095,2026-08-19
Yankee Stadium,L,no (CI overlaps baseline),0.3348497536641108,2026-08-19
T-Mobile Park,L,no (CI overlaps baseline),0.2568809162464922,2026-08-19
Nationals Park,L,no (CI overlaps baseline),0.2504593758575741,2026-08-19
Sutter Health Park,L,no (CI overlaps baseline),0.1936687829249681,2026-08-19
Citizens Bank Park,L,no (CI overlaps baseline),0.191396938847981,2026-08-19
Rogers Centre,L,no (CI overlaps baseline),0.1430578029083984,2026-08-19
Truist Park,L,no (CI overlaps baseline),0.14222853883661,2026-08-19
PNC Park,L,no (CI overlaps baseline),0.133098606409759,2026-08-19
Daikin Park,L,no (CI overlaps baseline),0.1100803880328376,2026-08-19
Oriole Park at Camden Yards,L,no (CI overlaps baseline),0.1024494917519154,2026-08-19
American Family Field,L,no (CI overlaps baseline),0.0869356968869627,2026-08-19
Great American Ball Park,L,no (CI overlaps baseline),0.0849820196603392,2026-08-19
Coors Field,L,no (CI overlaps baseline),0.0702534365699596,2026-08-19
Tropicana Field,L,no (CI overlaps baseline),0.0561953890309578,2026-08-19
Globe Life Field,L,no (CI overlaps baseline),0.0510784675639528,2026-08-19
loanDepot park,L,no (CI overlaps baseline),0.0349227351433825,2026-08-19
Progressive Field,L,no (CI overlaps baseline),0.0258390756490727,2026-08-19
Citi Field,L,no (CI overlaps baseline),-0.0177571764809758,2026-08-19
Chase Field,L,no (CI overlaps baseline),-0.0315017071652691,2026-08-19
UNIQLO Field at Dodger Stadium,L,no (CI overlaps baseline),-0.112924285710701,2026-08-19
Rate Field,L,no (CI overlaps baseline),-0.1615622567064439,2026-08-19
Oracle Park,L,no (CI overlaps baseline),-0.2344570836805596,2026-08-19
Fenway Park,L,no (CI overlaps baseline),-0.2407828756666119,2026-08-19
Target Field,L,no (CI overlaps baseline),-0.2632677825704267,2026-08-19
Comerica Park,L,no (CI overlaps baseline),-0.2833860324428184,2026-08-19
Kauffman Stadium,L,no (CI overlaps baseline),-0.3212215028828439,2026-08-19
Petco Park,L,no (CI overlaps baseline),-0.3263954315922139,2026-08-19
Busch Stadium,L,yes,-0.3475106977117878,2026-08-19
Angel Stadium,L,yes,-0.4098268221566334,2026-08-19
Tropicana Field,R,yes,0.9363804607910188,2026-08-19
Daikin Park,R,no (CI overlaps baseline),0.5393479011405122,2026-08-19
Chase Field,R,no (CI overlaps baseline),0.3094571979935654,2026-08-19
Globe Life Field,R,no (CI overlaps baseline),0.3019637797640648,2026-08-19
American Family Field,R,no (CI overlaps baseline),0.2132645975056042,2026-08-19
loanDepot park,R,no (CI overlaps baseline),0.192929048194834,2026-08-19
Comerica Park,R,no (CI overlaps baseline),0.1860249638036242,2026-08-19
Sutter Health Park,R,no (CI overlaps baseline),0.1353054764144345,2026-08-19
T-Mobile Park,R,no (CI overlaps baseline),0.1308021235582546,2026-08-19
Nationals Park,R,no (CI overlaps baseline),0.1246644102988407,2026-08-19
Citi Field,R,no (CI overlaps baseline),0.0517977475303885,2026-08-19
Coors Field,R,no (CI overlaps baseline),0.0330947606568325,2026-08-19
Kauffman Stadium,R,no (CI overlaps baseline),0.0027718524223929,2026-08-19
Progressive Field,R,no (CI overlaps baseline),-0.0028681524978216,2026-08-19
Great American Ball Park,R,no (CI overlaps baseline),-0.0033945637614022,2026-08-19
UNIQLO Field at Dodger Stadium,R,no (CI overlaps baseline),-0.0081512400652762,2026-08-19
Wrigley Field,R,no (CI overlaps baseline),-0.022573597673332,2026-08-19
Yankee Stadium,R,no (CI overlaps baseline),-0.0233076447950092,2026-08-19
Rate Field,R,no (CI overlaps baseline),-0.1226751823093889,2026-08-19
Citizens Bank Park,R,no (CI overlaps baseline),-0.1354167829504587,2026-08-19
Petco Park,R,no (CI overlaps baseline),-0.159828200334284,2026-08-19
Fenway Park,R,no (CI overlaps baseline),-0.1764396171227857,2026-08-19
Rogers Centre,R,no (CI overlaps baseline),-0.1875503989195326,2026-08-19
Target Field,R,no (CI overlaps baseline),-0.1923797928350539,2026-08-19
Oracle Park,R,no (CI overlaps baseline),-0.2115854260024628,2026-08-19
Oriole Park at Camden Yards,R,no (CI overlaps baseline),-0.2333701740114622,2026-08-19
Truist Park,R,no (CI overlaps baseline),-0.3247662260589734,2026-08-19
Angel Stadium,R,yes,-0.343921303622044,2026-08-19
PNC Park,R,yes,-0.469893172227761,2026-08-19
Busch Stadium,R,yes,-0.5396828448873208,2026-08-19
Wrigley Field,L,yes,0.4188405203938632,2026-08-20
Yankee Stadium,L,no (CI overlaps baseline),0.3279288162928317,2026-08-20
T-Mobile Park,L,no (CI overlaps baseline),0.2811419301556448,2026-08-20
Nationals Park,L,no (CI overlaps baseline),0.270557687695143,2026-08-20
Sutter Health Park,L,no (CI overlaps baseline),0.2012036792892779,2026-08-20
Truist Park,L,no (CI overlaps baseline),0.1607091549007115,2026-08-20
Citizens Bank Park,L,no (CI overlaps baseline),0.1488996459694556,2026-08-20
Rogers Centre,L,no (CI overlaps baseline),0.1443458375622601,2026-08-20
PNC Park,L,no (CI overlaps baseline),0.1281812707872169,2026-08-20
Daikin Park,L,no (CI overlaps baseline),0.1223108227041518,2026-08-20
Oriole Park at Camden Yards,L,no (CI overlaps baseline),0.0812295367406095,2026-08-20
Coors Field,L,no (CI overlaps baseline),0.0743374031831991,2026-08-20
American Family Field,L,no (CI overlaps baseline),0.0720812831683332,2026-08-20
Great American Ball Park,L,no (CI overlaps baseline),0.0687292877858798,2026-08-20
loanDepot park,L,no (CI overlaps baseline),0.0608803772171584,2026-08-20
Tropicana Field,L,no (CI overlaps baseline),0.0593804799198789,2026-08-20
Globe Life Field,L,no (CI overlaps baseline),0.0380447020004559,2026-08-20
Progressive Field,L,no (CI overlaps baseline),0.010029034525709,2026-08-20
Citi Field,L,no (CI overlaps baseline),-0.014967808772845,2026-08-20
Chase Field,L,no (CI overlaps baseline),-0.0270933192184098,2026-08-20
UNIQLO Field at Dodger Stadium,L,no (CI overlaps baseline),-0.111538898814383,2026-08-20
Rate Field,L,no (CI overlaps baseline),-0.1474634918380349,2026-08-20
Fenway Park,L,no (CI overlaps baseline),-0.1592631561764184,2026-08-20
Oracle Park,L,no (CI overlaps baseline),-0.2366051537696359,2026-08-20
Comerica Park,L,no (CI overlaps baseline),-0.2750789761642447,2026-08-20
Target Field,L,no (CI overlaps baseline),-0.2860305447162383,2026-08-20
Petco Park,L,no (CI overlaps baseline),-0.3194644835837622,2026-08-20
Kauffman Stadium,L,no (CI overlaps baseline),-0.3360860858631557,2026-08-20
Busch Stadium,L,yes,-0.3516846347853357,2026-08-20
Angel Stadium,L,yes,-0.4035549165893163,2026-08-20
Tropicana Field,R,yes,0.9628258647206398,2026-08-20
Daikin Park,R,no (CI overlaps baseline),0.5225614588811378,2026-08-20
Chase Field,R,no (CI overlaps baseline),0.3002255715790547,2026-08-20
Globe Life Field,R,no (CI overlaps baseline),0.2914569269039613,2026-08-20
loanDepot park,R,no (CI overlaps baseline),0.2077297169034828,2026-08-20
Comerica Park,R,no (CI overlaps baseline),0.1885503234643866,2026-08-20
American Family Field,R,no (CI overlaps baseline),0.1865868473753682,2026-08-20
Sutter Health Park,R,no (CI overlaps baseline),0.1544652087915448,2026-08-20
T-Mobile Park,R,no (CI overlaps baseline),0.1442518957507546,2026-08-20
Nationals Park,R,no (CI overlaps baseline),0.1426232110620691,2026-08-20
Citi Field,R,no (CI overlaps baseline),0.0373471223973087,2026-08-20
Coors Field,R,no (CI overlaps baseline),0.0253594902033262,2026-08-20
Great American Ball Park,R,no (CI overlaps baseline),0.0231687123304327,2026-08-20
UNIQLO Field at Dodger Stadium,R,no (CI overlaps baseline),-0.0081381018268377,2026-08-20
Progressive Field,R,no (CI overlaps baseline),-0.0119958195274323,2026-08-20
Kauffman Stadium,R,no (CI overlaps baseline),-0.020127046549592,2026-08-20
Yankee Stadium,R,no (CI overlaps baseline),-0.0286432435334073,2026-08-20
Wrigley Field,R,no (CI overlaps baseline),-0.0356584690385445,2026-08-20
Rate Field,R,no (CI overlaps baseline),-0.1099072322119221,2026-08-20
Citizens Bank Park,R,no (CI overlaps baseline),-0.1205518291407461,2026-08-20
Petco Park,R,no (CI overlaps baseline),-0.1680374498644068,2026-08-20
Rogers Centre,R,no (CI overlaps baseline),-0.1898626605825222,2026-08-20
Fenway Park,R,no (CI overlaps baseline),-0.197941499861119,2026-08-20
Oracle Park,R,no (CI overlaps baseline),-0.2054788493809403,2026-08-20
Target Field,R,no (CI overlaps baseline),-0.2055323333016859,2026-08-20
Oriole Park at Camden Yards,R,no (CI overlaps baseline),-0.2104684195773439,2026-08-20
Truist Park,R,no (CI overlaps baseline),-0.3152301841936883,2026-08-20
Angel Stadium,R,yes,-0.3391492256442319,2026-08-20
PNC Park,R,yes,-0.478354273749534,2026-08-20
Busch Stadium,R,yes,-0.5420757123795229,2026-08-20
