key,stand,significant,factor,date
temp=80-90 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0018662642817006,2026-08-19
temp=70-80 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0025120776032576,2026-08-19
temp=80-90 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0030950879021823,2026-08-19
temp=60-70 wind=Varies speed=5-10mph,R,no (CI overlaps baseline),-0.0036080736180343,2026-08-19
temp=<60 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0045773717598082,2026-08-19
temp=60-70 wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0047367962572234,2026-08-19
temp=70-80 wind=In speed=5-10mph,R,no (CI overlaps baseline),-0.0050247249215422,2026-08-19
temp=80-90 wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.0065239940900475,2026-08-19
temp=<60 wind=In speed=5-10mph,R,no (CI overlaps baseline),-0.0070872858578717,2026-08-19
temp=90+ wind=In speed=10-15mph,R,no (CI overlaps baseline),-0.0103883891987597,2026-08-19
temp=70-80 wind=Out speed=10-15mph,R,no (CI overlaps baseline),-0.0136404665780295,2026-08-19
temp=60-70 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0147299940900399,2026-08-19
temp=<60 wind=Out speed=10-15mph,R,no (CI overlaps baseline),-0.0156935609084761,2026-08-19
temp=60-70 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0159752360777359,2026-08-19
temp=70-80 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),-0.0162614407747403,2026-08-19
temp=60-70 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0171948528341477,2026-08-19
temp=70-80 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0174808683500268,2026-08-19
temp=80-90 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0176286431259458,2026-08-19
temp=<60 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0195296958479861,2026-08-19
temp=70-80 wind=Varies speed=5-10mph,R,no (CI overlaps baseline),-0.0208834468439393,2026-08-19
temp=70-80 wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0220017441565774,2026-08-19
temp=90+ wind=Cross speed=10-15mph,R,no (CI overlaps baseline),-0.0228087141516384,2026-08-19
temp=<60 wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0240455115197902,2026-08-19
temp=90+ wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0262013701978243,2026-08-19
temp=90+ wind=In speed=5-10mph,R,no (CI overlaps baseline),-0.0286820526838391,2026-08-19
temp=60-70 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0316179840802423,2026-08-19
temp=70-80 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0319017312693844,2026-08-19
temp=70-80 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0331352438419972,2026-08-19
temp=<60 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0339342769907642,2026-08-19
temp=70-80 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0343433479582091,2026-08-19
temp=<60 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0351663778350967,2026-08-19
temp=<60 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0363730963940018,2026-08-19
temp=90+ wind=Out speed=10-15mph,R,no (CI overlaps baseline),-0.0371871169337417,2026-08-19
temp=70-80 wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.0377142039364135,2026-08-19
temp=<60 wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.0397400711666516,2026-08-19
temp=90+ wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0409776505151291,2026-08-19
temp=90+ wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0454393997242892,2026-08-19
temp=70-80 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0486284852646267,2026-08-19
temp=<60 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0506416320513916,2026-08-19
temp=90+ wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0552083142657737,2026-08-19
temp=90+ wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0576172681770414,2026-08-19
temp=90+ wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.0609428116477056,2026-08-19
temp=90+ wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0717086375398736,2026-08-19
temp=60-70 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0917365447039166,2026-08-20
temp=60-70 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0910939632076324,2026-08-20
temp=70-80 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.088420288973789,2026-08-20
temp=70-80 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0877786317704132,2026-08-20
temp=60-70 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0877541937337742,2026-08-20
temp=70-80 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0844436856604036,2026-08-20
temp=60-70 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0750873855398246,2026-08-20
temp=60-70 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0744495073082378,2026-08-20
temp=70-80 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0717954671911729,2026-08-20
temp=70-80 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.071158537498301,2026-08-20
temp=60-70 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0711342796313738,2026-08-20
temp=70-80 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0678482587744702,2026-08-20
temp=80-90 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0399096133002132,2026-08-20
temp=80-90 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.039282189054044,2026-08-20
temp=80-90 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0360214950784365,2026-08-20
temp=90+ wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0351470052646172,2026-08-20
temp=90+ wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0345210502524091,2026-08-20
temp=60-70 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.0336709746195891,2026-08-20
temp=<60 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0324251239418746,2026-08-20
temp=<60 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.031800014386043,2026-08-20
temp=90+ wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0312680190334857,2026-08-20
temp=70-80 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.0304431098505513,2026-08-20
temp=70-80 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),0.0298186185797675,2026-08-20
temp=60-70 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.029794834727344,2026-08-20
temp=<60 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0285513924615397,2026-08-20
temp=70-80 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0265732211119755,2026-08-20
temp=60-70 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.0264354820046064,2026-08-20
temp=60-70 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0258122477080731,2026-08-20
temp=80-90 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0236591214210886,2026-08-20
temp=70-80 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.023219321611017,2026-08-20
temp=80-90 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0230367632557813,2026-08-20
temp=70-80 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0225971026334748,2026-08-20
temp=60-70 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.0225734053720938,2026-08-20
temp=80-90 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0198024898011659,2026-08-20
temp=70-80 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.019363555009064,2026-08-20
temp=90+ wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0189351120795493,2026-08-20
temp=90+ wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0183142547044099,2026-08-20
temp=<60 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0162354386963528,2026-08-20
temp=<60 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0156154446724727,2026-08-20
temp=90+ wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0150878073427418,2026-08-20
