factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant,n
weather,temp=80-90 wind=Varies speed=10-15mph,R,-0.0226398189278344,-0.27431182885505734,0.22903219099938843,no (CI overlaps baseline),7
weather,temp=60-70 wind=Out speed=10-15mph,R,-0.02353862448236832,-0.2410780514955232,0.19400080253078644,no (CI overlaps baseline),185
weather,temp=70-80 wind=Out speed=10-15mph,R,-0.025016607092938292,-0.21978557302805335,0.16975235884217676,no (CI overlaps baseline),288
weather,temp=60-70 wind=Cross speed=0-5mph,R,-0.025652726757849686,-0.24568425070442068,0.1943787971887212,no (CI overlaps baseline),65
weather,temp=70-80 wind=Cross speed=0-5mph,R,-0.027129391924304747,-0.223918447423186,0.16965966357457662,no (CI overlaps baseline),133
weather,temp=90+ wind=Out speed=0-5mph,R,-0.027512511501715076,-0.24941497332219653,0.1943899503187665,no (CI overlaps baseline),41
weather,temp=80-90 wind=Varies speed=5-10mph,R,-0.030172027505290355,-0.2782185657322236,0.21787451072164288,no (CI overlaps baseline),29
weather,temp=60-70 wind=Out speed=5-10mph,R,-0.03106796705112891,-0.2461092089114273,0.18397327480916936,no (CI overlaps baseline),274
weather,temp=60-70 wind=In speed=0-5mph,R,-0.031196951567885045,-0.25364141374624316,0.19124751061047296,no (CI overlaps baseline),61
weather,temp=70-80 wind=Out speed=5-10mph,R,-0.032541220669765836,-0.22377640693793222,0.15869396559840054,no (CI overlaps baseline),615
weather,temp=70-80 wind=In speed=0-5mph,R,-0.03267012327972696,-0.23277032611564008,0.16743007955618627,no (CI overlaps baseline),116
weather,temp=<60 wind=Out speed=10-15mph,R,-0.037722638697534894,-0.2576212282632041,0.18217595086813443,no (CI overlaps baseline),161
weather,temp=90+ wind=Varies speed=10-15mph,R,-0.03807539065220922,-0.29952495591795336,0.22337417461353493,no (CI overlaps baseline),8
weather,temp=60-70 wind=Calm speed=0-5mph,R,-0.038692087592197555,-0.1874339080170515,0.1100497328326564,no (CI overlaps baseline),237
weather,temp=<60 wind=Cross speed=0-5mph,R,-0.03982386416005801,-0.2642495972477621,0.1846018689276463,no (CI overlaps baseline),26
weather,temp=70-80 wind=Calm speed=0-5mph,R,-0.04016044802867991,-0.1650524612333163,0.08473156517595637,no (CI overlaps baseline),1675
weather,temp=<60 wind=Out speed=5-10mph,R,-0.045205768158358306,-0.2638728829878907,0.17346134667117408,no (CI overlaps baseline),161
weather,temp=<60 wind=In speed=0-5mph,R,-0.04533395246163863,-0.2725012465267592,0.1818333416034823,no (CI overlaps baseline),30
weather,temp=<60 wind=Calm speed=0-5mph,R,-0.052782094987538164,-0.2148504982902758,0.10928630831519937,no (CI overlaps baseline),21
weather,temp=80-90 wind=Varies speed=0-5mph,R,-0.06066670414966069,-0.30911070641300964,0.18777729811368848,no (CI overlaps baseline),5
weather,temp=60-70 wind=Out speed=0-5mph,R,-0.06155040162313019,-0.27940124814810585,0.15630044490184525,no (CI overlaps baseline),53
weather,temp=70-80 wind=Out speed=0-5mph,R,-0.06300346019376568,-0.25828624450955806,0.13227932412202636,no (CI overlaps baseline),204
weather,temp=60-70 wind=Varies speed=10-15mph,R,-0.07195065257432232,-0.3272648432173254,0.18336353806868066,no (CI overlaps baseline),55
weather,temp=70-80 wind=Varies speed=10-15mph,R,-0.07339643551206254,-0.31422566967049037,0.1674327986463653,no (CI overlaps baseline),17
weather,temp=<60 wind=Out speed=0-5mph,R,-0.07549109234794049,-0.2976485723606488,0.1466663876647678,no (CI overlaps baseline),14
weather,temp=90+ wind=Varies speed=0-5mph,R,-0.07583767542339526,-0.334314329880407,0.18263897903361648,no (CI overlaps baseline),16
weather,temp=60-70 wind=Varies speed=5-10mph,R,-0.07931463559066487,-0.3332982009703932,0.17466892978906357,no (CI overlaps baseline),29
weather,temp=70-80 wind=Varies speed=5-10mph,R,-0.08075514837963904,-0.31960905238898907,0.1580987556297111,no (CI overlaps baseline),20
weather,temp=<60 wind=Varies speed=10-15mph,R,-0.08582041614056879,-0.3431914609730289,0.17155062869189108,no (CI overlaps baseline),37
weather,temp=70-80 wind=Varies speed=0-5mph,R,-0.11051218295343868,-0.34926182141235507,0.12823745550547794,no (CI overlaps baseline),6
weather,temp=<60 wind=Varies speed=0-5mph,R,-0.12269517836531962,-0.3796038779536399,0.13421352122300068,no (CI overlaps baseline),7
