factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant,n
weather,temp=<60 wind=Out speed=15+mph,L,-0.06525744420945478,-0.2234032699574824,0.09288838153857282,no (CI overlaps baseline),50
weather,temp=60-70 wind=In speed=15+mph,L,-0.08429462269995891,-0.23188398782173025,0.06329474242181243,no (CI overlaps baseline),18
weather,temp=70-80 wind=In speed=15+mph,L,-0.08731257705593376,-0.23577694479687394,0.061151790685006535,no (CI overlaps baseline),39
weather,temp=<60 wind=Varies speed=15+mph,L,-0.10359666874018225,-0.2934363255710145,0.0862429880906499,no (CI overlaps baseline),11
weather,temp=80-90 wind=In speed=15+mph,L,-0.1312825739079969,-0.2793801282580569,0.016814980442062977,no (CI overlaps baseline),21
weather,temp=<60 wind=In speed=15+mph,L,-0.1380371129942609,-0.2951165093731848,0.01904228338466285,no (CI overlaps baseline),10
weather,temp=80-90 wind=In speed=15+mph,R,0.08820568302058596,-0.07393662719784933,0.2503479932390211,no (CI overlaps baseline),7
weather,temp=80-90 wind=Cross speed=15+mph,R,0.07646489806520207,-0.08176033041955388,0.23469012654995813,no (CI overlaps baseline),46
weather,temp=60-70 wind=In speed=15+mph,R,0.07503482622717783,-0.0851879570269709,0.23525760948132657,no (CI overlaps baseline),5
weather,temp=60-70 wind=Cross speed=15+mph,R,0.06336077810303187,-0.09537793599053834,0.22209949219660197,no (CI overlaps baseline),14
weather,temp=60-70 wind=Varies speed=15+mph,R,0.05899075199714332,-0.14742847060090647,0.2654099745951932,no (CI overlaps baseline),35
weather,temp=70-80 wind=In speed=15+mph,R,0.058483378947874254,-0.09646367056042848,0.21343042845617677,no (CI overlaps baseline),51
weather,temp=80-90 wind=Out speed=15+mph,R,0.05844021004462263,-0.0944335236627123,0.21131394375195733,no (CI overlaps baseline),104
weather,temp=<60 wind=In speed=15+mph,R,0.054114629183305896,-0.11223411033580877,0.22046336870242067,no (CI overlaps baseline),13
weather,temp=70-80 wind=Cross speed=15+mph,R,0.04689582378322821,-0.10633405631814508,0.2001257038846016,no (CI overlaps baseline),59
weather,temp=60-70 wind=Out speed=15+mph,R,0.0454417572705641,-0.1076100842153287,0.19849359875645667,no (CI overlaps baseline),147
weather,temp=80-90 wind=In speed=10-15mph,R,0.04384234661103514,-0.08768911557014558,0.17537380879221587,no (CI overlaps baseline),154
weather,temp=<60 wind=Cross speed=15+mph,R,0.042550391732163684,-0.12194380019767737,0.2070445836620045,no (CI overlaps baseline),36
weather,temp=<60 wind=Varies speed=15+mph,R,0.038222139726765025,-0.17331826393786243,0.2497625433913926,no (CI overlaps baseline),17
weather,temp=80-90 wind=Cross speed=10-15mph,R,0.032333739132822226,-0.09598219679900966,0.16064967506465422,no (CI overlaps baseline),237
weather,temp=60-70 wind=In speed=10-15mph,R,0.030932321745629432,-0.09897748811030882,0.1608421316015678,no (CI overlaps baseline),191
weather,temp=70-80 wind=Out speed=15+mph,R,0.029113569397341,-0.11835642311192618,0.17658356190660807,no (CI overlaps baseline),198
weather,temp=80-90 wind=Varies speed=10-15mph,R,0.028026634597687394,-0.15895669940695023,0.2150099686023248,no (CI overlaps baseline),11
weather,temp=80-90 wind=In speed=5-10mph,R,0.025558168453565955,-0.09972669080127439,0.1508430277084063,no (CI overlaps baseline),600
weather,temp=<60 wind=Out speed=15+mph,R,0.024804975310209976,-0.1340223543631308,0.18363230498355065,no (CI overlaps baseline),69
weather,temp=60-70 wind=Calm speed=10-15mph,R,0.022497663290050207,-0.14300430878028625,0.18799963536038677,no (CI overlaps baseline),2
weather,temp=90+ wind=Cross speed=15+mph,R,0.021940164997521938,-0.14907732832476506,0.1929576583198087,no (CI overlaps baseline),15
weather,temp=60-70 wind=Cross speed=10-15mph,R,0.019495226446376357,-0.11009116415817843,0.14908161705093081,no (CI overlaps baseline),289
weather,temp=80-90 wind=Calm speed=5-10mph,R,0.017145787101367382,-0.14999396089522543,0.18428553509796042,no (CI overlaps baseline),31
weather,temp=60-70 wind=Varies speed=10-15mph,R,0.015215292933263402,-0.17023616383049744,0.20066674969702403,no (CI overlaps baseline),124
weather,temp=70-80 wind=In speed=10-15mph,R,0.014718429033270919,-0.10921751469677687,0.13865437276331893,no (CI overlaps baseline),261
weather,temp=80-90 wind=Out speed=10-15mph,R,0.014676154753470616,-0.11055437499827503,0.13990668450521615,no (CI overlaps baseline),410
weather,temp=80-90 wind=Cross speed=5-10mph,R,0.014151366476547134,-0.10883994147937848,0.13714267443247308,no (CI overlaps baseline),1231
weather,temp=60-70 wind=In speed=5-10mph,R,0.012762498962540558,-0.11383279612381558,0.1393577940488968,no (CI overlaps baseline),288
weather,temp=<60 wind=In speed=10-15mph,R,0.010440591450139758,-0.12644378141830204,0.14732496431858166,no (CI overlaps baseline),146
weather,temp=80-90 wind=Varies speed=5-10mph,R,0.009882938365925575,-0.17370949440282424,0.19347537113467528,no (CI overlaps baseline),65
weather,temp=80-90 wind=In speed=0-5mph,R,0.007111753803072718,-0.12403016303996628,0.1382536706461115,no (CI overlaps baseline),246
weather,temp=70-80 wind=Calm speed=10-15mph,R,0.006351673610884623,-0.15889318304614763,0.17159653026791655,no (CI overlaps baseline),9
weather,temp=60-70 wind=Calm speed=5-10mph,R,0.0044040749527569645,-0.1571524361560187,0.16596058606153274,no (CI overlaps baseline),15
weather,temp=90+ wind=Out speed=15+mph,R,0.004373691975316341,-0.15962166970444214,0.16836905365507482,no (CI overlaps baseline),99
weather,temp=70-80 wind=Cross speed=10-15mph,R,0.003373666967054989,-0.12000173933125902,0.12674907326536888,no (CI overlaps baseline),537
weather,temp=60-70 wind=Out speed=10-15mph,R,0.0019504436718265072,-0.12413818838015978,0.1280390757238128,no (CI overlaps baseline),433
weather,temp=60-70 wind=Cross speed=5-10mph,R,0.001429064964926896,-0.12578977451172435,0.12864790444157825,no (CI overlaps baseline),653
weather,temp=70-80 wind=Varies speed=10-15mph,R,-0.0008712064287544896,-0.18446791090835468,0.1827254980508457,no (CI overlaps baseline),31
weather,temp=<60 wind=Cross speed=10-15mph,R,-0.0008793418671274589,-0.136947907848745,0.13518922411449008,no (CI overlaps baseline),119
weather,temp=80-90 wind=Calm speed=0-5mph,R,-0.001222431087169018,-0.1575557091376134,0.15511084696327537,no (CI overlaps baseline),89
weather,temp=60-70 wind=Varies speed=5-10mph,R,-0.002811508633352333,-0.18682062078229733,0.18119760351559266,no (CI overlaps baseline),67
weather,temp=70-80 wind=In speed=5-10mph,R,-0.003303783132890148,-0.12293585697475107,0.11632829070897088,no (CI overlaps baseline),1072
weather,temp=80-90 wind=Out speed=5-10mph,R,-0.003345666743826081,-0.1238741039877167,0.11718277050006476,no (CI overlaps baseline),1403
weather,temp=80-90 wind=Cross speed=0-5mph,R,-0.004188723698228314,-0.1330054000164077,0.12462795261995119,no (CI overlaps baseline),432
weather,temp=<60 wind=Varies speed=10-15mph,R,-0.005114791456183099,-0.19574704206156357,0.18551745914919726,no (CI overlaps baseline),70
weather,temp=60-70 wind=In speed=0-5mph,R,-0.0055644925837884385,-0.1372129846403064,0.1260839994727294,no (CI overlaps baseline),151
weather,temp=<60 wind=In speed=5-10mph,R,-0.00754193493317501,-0.1420509888844662,0.1269671190181163,no (CI overlaps baseline),223
weather,temp=80-90 wind=Varies speed=0-5mph,R,-0.008416789928417323,-0.19464716223544198,0.17781358237860734,no (CI overlaps baseline),13
weather,temp=90+ wind=In speed=10-15mph,R,-0.009841452409524831,-0.15979610507274244,0.14011320025369267,no (CI overlaps baseline),18
weather,temp=70-80 wind=Calm speed=5-10mph,R,-0.011592630656259373,-0.1721967168206694,0.14901145550815076,no (CI overlaps baseline),21
weather,temp=60-70 wind=Calm speed=0-5mph,R,-0.013843386626359755,-0.1638592465590305,0.13617247330631077,no (CI overlaps baseline),521
weather,temp=70-80 wind=Out speed=10-15mph,R,-0.014025637485318931,-0.13386900658060952,0.10581773160997177,no (CI overlaps baseline),703
weather,temp=70-80 wind=Cross speed=5-10mph,R,-0.014542621945721201,-0.13460920420028188,0.10552396030883959,no (CI overlaps baseline),1319
weather,temp=60-70 wind=Out speed=5-10mph,R,-0.015952403484387645,-0.14029146708884843,0.10838666012007292,no (CI overlaps baseline),588
weather,temp=60-70 wind=Cross speed=0-5mph,R,-0.016789799735215438,-0.14885950976847007,0.11527991029803908,no (CI overlaps baseline),149
weather,temp=<60 wind=Out speed=10-15mph,R,-0.018239556937089674,-0.15073012527145768,0.11425101139727833,no (CI overlaps baseline),376
weather,temp=70-80 wind=Varies speed=5-10mph,R,-0.01874730311768058,-0.20026391328751858,0.16276930705215742,no (CI overlaps baseline),45
weather,temp=<60 wind=Cross speed=5-10mph,R,-0.018755361234163215,-0.1533145618632965,0.11580383939497008,no (CI overlaps baseline),139
weather,temp=90+ wind=Cross speed=10-15mph,R,-0.021041010307353836,-0.16613779939612217,0.1240557787814145,no (CI overlaps baseline),96
weather,temp=70-80 wind=In speed=0-5mph,R,-0.0214768404448481,-0.14674683965294189,0.10379315876324569,no (CI overlaps baseline),269
weather,temp=80-90 wind=Out speed=0-5mph,R,-0.021518316962005235,-0.14926142606949533,0.10622479214548486,no (CI overlaps baseline),344
weather,temp=90+ wind=Varies speed=10-15mph,R,-0.025230793672671448,-0.21897876336475752,0.16851717601941463,no (CI overlaps baseline),21
weather,temp=<60 wind=In speed=0-5mph,R,-0.02567364608824374,-0.16565727116328577,0.11430997898679851,no (CI overlaps baseline),76
weather,temp=90+ wind=In speed=5-10mph,R,-0.02763161410574655,-0.17423440117944378,0.11897117296795057,no (CI overlaps baseline),50
weather,temp=70-80 wind=Calm speed=0-5mph,R,-0.02968453590379372,-0.17907926380773764,0.1197101920001502,no (CI overlaps baseline),3736
weather,temp=70-80 wind=Out speed=5-10mph,R,-0.0317752499619931,-0.1489467274721724,0.0853962275481861,no (CI overlaps baseline),1424
weather,temp=70-80 wind=Cross speed=0-5mph,R,-0.032605360382648385,-0.15810584683621798,0.09289512607092121,no (CI overlaps baseline),323
weather,temp=<60 wind=Calm speed=0-5mph,R,-0.0338622307234393,-0.19343335019168384,0.12570888874480546,no (CI overlaps baseline),48
weather,temp=60-70 wind=Out speed=0-5mph,R,-0.03400115048477115,-0.16454701781483105,0.09654471684528887,no (CI overlaps baseline),130
weather,temp=<60 wind=Out speed=5-10mph,R,-0.03594803328110552,-0.16750904563743318,0.09561297907522226,no (CI overlaps baseline),418
weather,temp=70-80 wind=Varies speed=0-5mph,R,-0.036768211054346134,-0.2205616972333434,0.14702527512465102,no (CI overlaps baseline),22
weather,temp=<60 wind=Cross speed=0-5mph,R,-0.03677618871257027,-0.17663535851216838,0.10308298108702774,no (CI overlaps baseline),58
weather,temp=90+ wind=Out speed=10-15mph,R,-0.03821188218584859,-0.1781175125781299,0.10169374820643262,no (CI overlaps baseline),236
weather,temp=90+ wind=Cross speed=5-10mph,R,-0.03872197306140179,-0.18125243058854834,0.10380848446574475,no (CI overlaps baseline),226
weather,temp=<60 wind=Varies speed=0-5mph,R,-0.0409291935052285,-0.23313157512276128,0.15127318811230417,no (CI overlaps baseline),15
weather,temp=90+ wind=In speed=0-5mph,R,-0.04556313699592196,-0.19523077545522038,0.10410450146337658,no (CI overlaps baseline),23
weather,temp=70-80 wind=Out speed=0-5mph,R,-0.04966462003258654,-0.1736841287450409,0.07435488867986795,no (CI overlaps baseline),486
weather,temp=<60 wind=Out speed=0-5mph,R,-0.0537946559650857,-0.19190417604322796,0.08431486411305644,no (CI overlaps baseline),31
weather,temp=90+ wind=Out speed=5-10mph,R,-0.05572131218982457,-0.19359610810600336,0.08215348372635423,no (CI overlaps baseline),289
weather,temp=90+ wind=Cross speed=0-5mph,R,-0.056540013088133945,-0.20215674029727604,0.08907671412100804,no (CI overlaps baseline),93
weather,temp=90+ wind=Varies speed=0-5mph,R,-0.0606454090136177,-0.25372231412508683,0.13243149609785143,no (CI overlaps baseline),33
weather,temp=90+ wind=Out speed=0-5mph,R,-0.07336130485846926,-0.2155627074734855,0.06884009775654687,no (CI overlaps baseline),102
